cuisine,total
American,4
Austrian,1
Chinese,1
Contemporary,18
French,6
Fusion,1
Indian,1
Italian,4
Japanese,19
Korean,4
Mediterranean,2
Mexican,3
Scandinavian,3
Seafood,3
Spanish,1
Steakhouse,1
Thai,1
Vegetarian,1
